#;PTS;REB;ASI;ROB;PER;PTSCONTRA;TAP;TAPR;MAT;FP;FPR;+/-;VAL;Jornada;Titular;T2A;T2I;T2F;T3A;T3I;T3F;TLA;TLI;TLF;RD;RO;SEG
21;0;1;1;0;0;0;1;0;0;0;0;6;2;14;False;0;1;1;0;0;0;0;0;0;0;1;230
21;0;0;0;0;0;0;0;0;0;0;0;0;0;20;False;0;0;0;0;0;0;0;0;0;0;0;0
21;0;0;0;0;0;0;0;0;0;1;0;-5;-1;21;False;0;0;0;0;0;0;0;0;0;0;0;338
24;0;0;0;0;1;0;0;0;0;1;0;-1;-3;1;False;0;0;0;0;1;1;0;0;0;0;0;260
24;3;1;0;0;0;0;1;0;0;1;0;8;3;2;False;0;0;0;1;2;1;0;0;0;1;0;598
24;0;0;0;0;0;0;0;0;0;0;0;-2;0;3;False;0;0;0;0;0;0;0;0;0;0;0;115
24;0;0;0;0;0;0;0;0;0;0;0;0;0;4;False;0;0;0;0;0;0;0;0;0;0;0;0
24;11;3;0;0;0;3;0;0;0;3;1;2;9;5;True;0;0;0;3;5;2;2;3;1;3;0;1214
24;0;2;0;0;0;0;0;0;0;2;0;1;-2;6;True;0;0;0;0;2;2;0;0;0;2;0;637
24;0;0;0;0;0;0;0;0;0;2;0;-12;-7;7;False;0;0;0;0;5;5;0;0;0;0;0;661
24;6;1;0;0;0;0;0;0;0;4;0;18;1;8;False;0;0;0;2;4;2;0;0;0;1;0;787
24;0;2;0;0;0;0;0;0;0;1;0;-4;0;9;False;0;0;0;0;1;1;0;0;0;2;0;477
24;0;1;0;0;0;0;0;0;0;1;0;-2;-1;10;False;0;0;0;0;1;1;0;0;0;1;0;284
24;0;0;0;0;1;0;0;0;0;3;0;-11;-5;11;True;0;0;0;0;1;1;0;0;0;0;0;309
24;0;2;0;0;0;0;0;0;0;1;0;1;0;12;False;0;1;1;0;0;0;0;0;0;1;1;216
24;7;4;0;0;0;0;0;0;0;3;1;-4;5;13;True;0;0;0;2;5;3;1;2;1;2;2;741
24;0;2;0;1;2;0;0;0;0;2;0;-9;-3;14;False;0;1;1;0;1;1;0;0;0;0;2;622
24;0;0;0;0;0;0;0;0;0;1;0;-2;-1;15;False;0;0;0;0;0;0;0;0;0;0;0;347
30;3;3;0;2;1;0;0;0;0;2;0;7;0;16;False;0;2;2;1;4;3;0;0;0;3;0;898
30;5;0;0;0;3;0;0;0;0;2;0;-2;0;17;False;1;1;0;1;1;0;0;0;0;0;0;725
30;6;3;0;1;1;0;0;0;0;1;1;-11;7;18;True;0;2;2;2;2;0;0;0;0;3;0;896
30;0;0;0;0;0;0;0;0;0;3;0;2;-4;19;False;0;0;0;0;1;1;0;0;0;0;0;226
30;10;3;1;1;0;2;0;0;0;1;2;-2;14;20;False;2;3;1;1;2;1;3;3;0;2;1;696
30;8;1;0;1;0;3;0;1;0;2;0;-4;4;21;False;1;3;2;2;3;1;0;0;0;1;0;819
31;14;4;6;4;1;4;0;1;1;0;1;26;20;1;True;3;6;3;2;6;4;2;2;0;3;1;1423
31;11;2;1;1;2;0;0;0;0;0;3;-10;10;2;True;1;3;2;1;5;4;6;6;0;2;0;1202
31;0;1;3;0;0;0;0;0;0;2;1;2;3;3;True;0;0;0;0;0;0;0;0;0;1;0;873
31;7;6;1;0;3;4;0;0;0;1;4;15;8;4;True;3;6;3;0;2;2;1;2;1;5;1;1652
31;4;5;9;0;4;0;0;1;0;3;2;1;8;5;True;1;2;1;0;3;3;2;2;0;4;1;1632
31;2;1;1;1;4;2;0;0;1;3;1;-3;-3;6;True;1;3;2;0;0;0;0;0;0;0;1;877
31;22;5;5;2;2;8;0;0;0;2;3;-4;24;7;True;6;10;4;3;7;4;1;2;1;3;2;1734
31;30;4;0;0;1;3;0;4;0;1;3;17;23;8;True;2;6;4;8;12;4;2;2;0;4;0;1280
31;17;3;4;1;2;2;0;1;0;4;2;7;11;9;True;4;8;4;3;8;5;0;0;0;3;0;1604
31;22;3;6;1;1;0;0;1;0;2;8;2;24;10;True;5;11;6;1;6;5;9;10;1;3;0;1699
31;18;5;4;1;0;4;0;1;0;3;3;4;18;11;True;5;7;2;1;6;5;5;7;2;4;1;1578
31;3;3;5;2;2;0;0;0;0;3;2;1;2;12;True;1;5;4;0;3;3;1;2;1;3;0;1335
31;7;1;1;0;2;0;0;1;0;2;3;-3;0;13;True;1;4;3;1;3;2;2;4;2;1;0;1439
31;14;10;4;3;2;0;0;1;0;2;4;-4;19;14;True;1;5;4;3;6;3;3;7;4;5;5;1639
31;5;3;3;1;0;0;0;1;0;1;0;-5;1;15;True;1;6;5;1;5;4;0;0;0;1;2;1626
31;6;4;1;3;2;0;0;2;0;1;4;-2;3;16;True;2;5;3;0;5;5;2;4;2;3;1;2105
31;13;6;2;0;5;4;1;0;0;1;2;-4;11;17;True;5;8;3;1;5;4;0;0;0;5;1;1983
31;8;4;9;0;1;0;0;0;0;2;4;5;18;18;True;0;1;1;2;4;2;2;3;1;4;0;1547
31;12;1;5;1;2;5;0;0;0;2;2;6;14;19;True;2;3;1;2;4;2;2;2;0;1;0;1408
