#;Jugador;TCA;TCI;T3A;T3I;TLA;TLI;RO;RD;REB;ASI;PER;ROB;TAP;TAPR;FP;FPR;PTS;+/-;VAL;Jornada;Adversario;Local;Vuelta;SEG
15;Emanuel Cate;4;7;0;0;2;2;2;4;6;1;0;1;0;0;1;2;10;0,0;16;15;Surne Bilbao Basket;Visitante;1ª Vuelta;1198
15;Emanuel Cate;2;5;0;0;3;5;2;0;2;1;1;0;0;0;2;3;7;-2,0;5;16;Basket Zaragoza;Local;1ª Vuelta;1177
15;Emanuel Cate;4;9;0;0;2;2;4;5;9;5;0;1;1;0;4;3;10;0,0;20;17;Unicaja Málaga;Visitante;1ª Vuelta;1675
15;Emanuel Cate;4;9;0;0;2;2;4;5;9;5;0;1;1;0;4;3;10;0,0;20;18;FC Barcelona;Local;2ª Vuelta;1675
15;Emanuel Cate;5;5;0;0;0;0;2;1;3;0;0;0;0;0;2;0;10;-5,0;11;19;Río Breogán;Visitante;2ª Vuelta;1239
15;Emanuel Cate;0;5;0;0;0;0;2;3;5;0;2;2;1;0;3;2;0;11,0;0;20;Recoletas Salud San Pablo Burgos;Local;2ª Vuelta;1126
15;Emanuel Cate;2;3;0;0;4;4;1;0;1;0;0;2;0;0;3;2;8;-13,0;9;21;Valencia Basket;Visitante;2ª Vuelta;768
16;Rubén López;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;10;Joventut Badalona;Local;1ª Vuelta;3
20;Pablo Sevilla;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,0;0;20;Recoletas Salud San Pablo Burgos;Local;2ª Vuelta;111
21;Moussa Diagne;2;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;1,0;2;1;MoraBanc Andorra;Local;1ª Vuelta;357
21;Moussa Diagne;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;-11,0;1;3;La Laguna Tenerife;Visitante;1ª Vuelta;278
